,REFCODE,Habit,Solvent,SMILES
5887,DARXUQ,prism,pentane,Fc1c(F)c(F)c(c(F)c1F)c1ccc2ccccc2c1c1c(Br)ccc2ccccc12
5888,DARYAX,block,ethanol,CC(C)c1ccccc1C(C)(C)O
5889,DASBAB,prism,water,[NH3+]C1CCCC1C(=O)[O-]
5890,DASBIJ,prism,water,[NH3+]C1CCCCCC1C(=O)[O-]
5891,DASCAC,prism,methanol,[NH3+]C1C2CCC(C2)C1C(=O)[O-]
5892,DASDOR,prism,pentane,CC12CCCCCCCCC(C)(CCCCCCCC1)CCCCCCCC2
5894,DASLEO,prism,acetone,COc1ccc(Nc2c(cc(cc2N(=O)=O)C(=O)Nc2ccc(Br)cc2)N(=O)=O)cc1
5895,DASMEQ,block,methanol,OC(C1CC2CCN1CC2CC[Si](c1ccccc1)(c1ccccc1)c1ccccc1)c1ccnc2ccccc12
5898,DASQAP,prism,isopropanol,CC(C)C1CCC(C)C(=Cc2ccc(cc2)N(C)C)C1=O
5899,DASQET,plate,isopropanol,CC(C)C1CCC(C)C(=Cc2ccc(cc2)N(=O)=O)C1=O
5900,DASQIX,prism,hexane,O=C1CCCCC1=Cc1ccccc1
5906,DATCEH01,prism,ethyl acetate,COc1ccc2CC3C4C=CC(OC(C)=O)C5Oc1c2C45CCN3C
5907,DATCIL,block,ethyl acetate,O=C1N2CN(CN3C(=O)N4CN(CN1C4(c1ccccc1)C23c1ccccc1)Cc1ccccc1)Cc1ccccc1
5908,DATDAE,prism,ethanol,Cc1cc(C)c(C)c(Oc2ccc(C#N)c(c2)C#N)c1
5909,DATDEI,prism,ethanol,Clc1ccc(Oc2ccc(C#N)c(c2)C#N)c(Br)c1
5910,DATDIM,block,ethanol,C(COCCSC1=NN=NN1c1ccccc1)OCCSC1=NN=NN1c1ccccc1
5912,DATGAH,block,methanol,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O
5916,DATJAK,prism,ethanol,COc1ccc2CCC3=C(C(c4cccc(Cl)c4)C(=C(N)O3)C#N)c2c1
5920,DATKUH,prism,hexane,COC1(OC)C(=O)C2CC3C4(C)CCCC(C)(C)C4C(=O)CC13C=C2
5923,DATLOA,block,ethanol,C(Sc1ncccn1)c1nc2ccccc2nc1CSc1ncccn1
5924,DATMAN,prism,methanol,[NH3+]C1CCCCC1C(=O)[O-]
5925,DATMER,prism,ethanol,[NH3+]C1CC=CCC1C(=O)[O-]
5926,DATPEU,plate,methanol,CC(C)CCCC(C)C1CCC2C3C(CCC12C)C1(C)CCC=CC1=CC3=O
5927,DATTAU,block,diethyl ether,C(Sc1ccccc1)Sc1ccccc1
5930,DATWUS,prism,hexane,CC1=CC(=C(C)S1)C1=C(CCC1)C1=C(C)Sc2ccccc12
5942,DAVMAR,block,ethanol,O=S(=O)(C1=Cc2ccccc2N1)c1ccccc1
5944,DAVQAS01,plate,ethanol,S=C(NN=C1CCCC1)Nc1ccccc1
5945,DAVQAT,block,toluene,N(C=Nc1cccc2ccccc12)c1cccc2ccccc12
5946,DAVQOG,block,hexane,C[Si](C)(C)N(=B(C1=CCc2ccccc12)C1=CCc2ccccc12)[Si](C)(C)C
5950,DAVSOK,prism,diethyl ether,COC(=O)N1CC(OC(=O)c2ccc(Br)cc2)C(OC1(C)C)C(OC(=O)c1ccc(Br)cc1)c1ccc(cc1)N(=O)=O
5954,DAVTIF,needle,ethanol,COc1cc2N(C)C(=O)C(=C(c2cc1OC)C1=C(Br)C(=O)N(C)c2cc(OC)c(OC)cc12)Br
5966,DAWFAJ,needle,methanol,COC(=O)c1ccc(cc1)N=Cc1ccc(O)cc1O
5972,DAXGOZ,needle,ethanol,CCOC(=O)C=CC(Br)=Cc1ccccc1
5976,DAXJUK,needle,methanol,Cc1ccccc1N(NC(=O)C1=CC=CN1)c1ccccc1C
5977,DAXKAP,needle,ethanol,COc1ccccc1OCC1CO1
5983,DAXMIZ,prism,ethyl acetate,COC1C2OC(C)(C)OC2C(OC(C)=O)C2OC(C)(C)OC12
5990,DAYFUF,prism,cyclohexane,Fc1cccc(F)c1OC(=O)c1c2ccccc2nc2ccccc12
5992,DAYHIX,needle,isopropanol,CC(C)(C)N1N=C(C=C1C1=CC=CO1)C(=O)Nc1ccc(cc1)N(=O)=O
5993,DAYJAP,block,ethanol,BrC(C(Br)C(=O)c1ccccc1)c1ccccc1
5994,DAYJET,prism,ethanol,COC(=O)C1=C(C)NC2=C(C1c1cccc(F)c1F)C(=O)C(C)(C)CC2
5995,DAYJIX,plate,ethanol,CCOC(=O)C1=C(C)NC2=C(C1c1cccc(F)c1F)C(=O)C(C)(C)CC2
5996,DAYKAQ,prism,acetonitrile,COc1ccccc1C1C(=C(N)OC2=C1C(=O)CC(C)(C)C2)C#N
6001,DAYLUL,block,methanol,COc1cc(ccc1O)C1NC(=O)c2ccccc2N1CCc1ccccc1
6002,DAYMEW,block,methanol,OCCN1C=NN=C1
6003,DAYNOH,plate,ethanol,CC(C)(C)CC1=C(CC(C)(C)C)C2c3ccccc3C1c1ccccc21
6005,DAYPID,prism,ethyl acetate,Clc1cccc(CN2C=CC(=O)NC2=O)c1
6007,DAYQEA,block,methanol,CSC1=Nc2ccccc2N1
6009,DAYQID,prism,water,CC1OC23NC(=O)N(C)C2(OC1C)C(=O)NC(=O)N3C
6011,DAYROL,block,ethyl acetate,Fc1ccc(cc1)C1=CN2N=C(Cl)C=CC2=N1
6013,DAYSIG,block,dimethylformamide,O=N(=O)c1ccc(NN=Cc2cccc(OCc3ccccc3)c2)c(c1)N(=O)=O
6014,DAYSUS,block,ethanol,CCOc1cc(ccc1OCc1ccccc1)C=NC1=C(C)N(C)N(C1=O)c1ccccc1
6015,DAYTON,block,acetonitrile,CCCOc1cc(ccc1OC)C=NNc1ccc(cc1)N(=O)=O
6016,DAYVAB,block,acetonitrile,CCCCOc1ccc(C=NNC(=O)c2ccccc2)cc1OC
6018,DAYWOQ,block,ethanol,Cc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)N(=O)=O
6019,DAYWUW,needle,ethanol,CCOC(=O)c1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1
6020,DAYXEH,block,ethanol,Fc1ccc(c(F)c1)C1=NN2C(=NN=C2c2ccc(Cl)cc2)SC1
