,REFCODE,Habit,Solvent,SMILES
19090,KAKTOH,prism,water/methanol,CC(O)CCCC(C)C1CCC2C(CCCC12C)=CC=C1CC(O)C(=C)C(O)C1
19091,KAKZAY,elongated plate prism,pentane,Brc1ccc(cc1)C(=O)OCC1CON(C1c1ccccc1)c1ccccc1
19092,KALJIR,block,toluene,CC1=CC(=N(C2CCCCC2)[Mg]2(O1)OC(=CC(=N2C1CCCCC1)C)C)C
19093,KALKEO,prism,toluene,OC(C1COC(=O)N1)c1ccc(cc1)N(=O)=O
19094,KALKOY,plate,hexane,COC1(C)OC2CCCCCC(C)OC(=O)C=CC2OC1(C)OC
19095,KALLAL,block,ethanol,CC(C)C1OC=NN2C(=O)c3ccccc3N=C12
19096,KALLIV,plate,methanol,S=C(NN=CC1=CC=CO1)NN=CC1=CC=CO1
19097,KALMAM,block,ethanol,NC(O)=C1C(=O)c2ccccc2C1=O
19098,KALQIY,needle,ethyl acetate,COC1(C)CC(C)(C)CC(O)C1O
19099,KALQOE,needle,ethyl acetate,COC1CC(C)(C)CC(C)(O)C1O
19100,KALXIE01,irregular,chloroform,COc1c(OC)c2C3C(C4C3c3c(OC)c(OC)c5OC=Cc5c3OC4=O)C(=O)Oc2c2C=COc12
19101,KALZED,rectangular plate,dichloromethane/hexanes,BrC1CC=C(C1=O)c1ccccc1
19102,KAMNIW,block,ethanol,OC(=O)CCNC(=O)C1=CC(=CN1)Br
19103,KAMNOC,plate,ethanol,O=C(NCCCCCCNC(=O)c1ccncc1)c1ccncc1
19104,KAMNUI,prism,acetonitrile,C(SC1=NN=NN1c1ccccc1)c1ccc(CSC2=NN=NN2c2ccccc2)cc1
19105,KAMPAQ,block,ethyl acetate,Cc1cc(C)nc(SCC(=O)C(C)(C)C)n1
19106,KAMPIA01,block,cyclohexane,CN(C)c1ccc(cc1)C=C(C#N)c1ccc(Br)cc1
19107,KAMPUK,block,methanol,CCCCC1=NC(=C(C=O)N1Cc1ccc(cc1)c1ccccc1C#N)Cl
19108,KAMQAR,prism,acetone,CC(=NOC(=O)c1ccccc1Cl)C1=Cc2ccccc2O1
19109,KAMQEV,prism,hexane/dichloromethane,CC(C)CCCC(C)C1CCC2(C)C3=C(C(=O)CC12C)C1(C)CCC(OS(=O)(=O)c2ccc(C)cc2)C(C)C1CC3=O
19110,KAMQIZ,block,dichloromethane,CSc1ncccc1C(O)=O
19111,KAMQOF,block,ethyl acetate/petroleum ether,FC(F)(F)c1cc(Cl)c(N2N=C(C=C2N=Cc2ccc(Cl)cc2)C#N)c(Cl)c1
19112,KAMRIC01,block,isopropanol,COc1ccc(OC)c(c1P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C
19113,KAMROI01,block,ethyl acetate,COc1ccc(OC)c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(=O)(C1CCCCC1)C1CCCCC1
19114,KAMXON,block,methanol,CC1CC(=O)CCC2(C)C1CCC1(C)C2CC=C(C)C21CC1=C(O2)C(=C(C)OC1=O)C
19115,KAMZUU,plate,toluene,CC(C)c1cccc(C(C)C)c1N1=C2c3cccc4cccc(C2=N(c2c(cccc2C(C)C)C(C)C)[Ca]21N(=C1c5cccc6cccc(C1=N2c1c(cccc1C(C)C)C(C)C)c56)c1c(cccc1C(C)C)C(C)C)c34
19116,KANBAD,prism,acetone,FC(F)(F)C(OP1(=O)Oc2ccccc2C(=O)OC1C(Cl)(Cl)Cl)c1cccc(Cl)c1
19117,KANHEN,prism,ethanol,OC1(CC(C2CCCC1C2=O)c1ccccc1)C(F)(F)F
19118,KANJOZ,prism,hexane,CC1(C)C2CCC1(C)C(C2)c1ccccc1O
19119,KANJUF,block,hexane,CC1(C)C2CCC1(C)C(C2)c1cccc(C2CC3CCC2(C)C3(C)C)c1O
19120,KANKAM,block,ether,O=C1C(N(C(N1Cc1ccccc1)c1ccccc1)S(=O)(=O)c1ccccc1)c1ccccc1
19121,KANKUH,needle,chloroform,O=C1OCc2cc3cccnc3c(c3ccccc3)c12
19122,KANLUG,needle,dichloromethane/pentane,CC1=CP(=O)(c2ccccc2)C(=C1C)C1=C(C)C(=CP1(=O)c1ccccc1)C
19123,KANMAN,box,dichloromethane,CC1=CP(C#N)C(=C1C)C1=C(C)C(=CP1C#N)C
19124,KANMET,block,ethanol,CC1(C)NC(=NC2=NC(=NN12)c1ccncc1)N
19125,KANPAQ,parallelepiped,dichloromethane/ether,COC(=O)C1(Cc2cccc3CC(Cc4cccc(C1)c4c23)(N=C1CC2CC(C2(C)C)C1(C)O)C(=O)OC)N=C1CC2CC(C2(C)C)C1(C)O
19126,KANQEV,prism,ethanol,CCOC(=O)C1=C(C)NC=CC1=O
